TOOL,SAMPLE,ID/OOD,loss
DLF,dlf_0_e963_p415.npy,id,51886.44921875
DLF,dlf_10_e963_p962.npy,id,50940.6328125
DLF,dlf_11_e963_p415.npy,id,53856.14453125
DLF,dlf_12_e963_p415.npy,id,50746.1953125
DLF,dlf_13_e963_p861.npy,id,80413.5859375
DLF,dlf_14_e963_p922.npy,id,33659.0703125
DLF,dlf_15_e963_p861.npy,id,79085.703125
DLF,dlf_16_e963_p931.npy,id,65801.7890625
DLF,dlf_17_e963_p861.npy,id,82668.5859375
DLF,dlf_18_e963_p922.npy,id,35443.23046875
DLF,dlf_19_e963_p859.npy,id,49774.8828125
DLF,dlf_1_e963_p861.npy,id,82058.828125
DLF,dlf_2_e963_p861.npy,id,82884.15625
DLF,dlf_3_e963_p415.npy,id,53700.37109375
DLF,dlf_4_e963_p962.npy,id,52505.36328125
DLF,dlf_5_e963_p861.npy,id,82382.515625
DLF,dlf_6_e963_p467.npy,id,90364.640625
DLF,dlf_7_e963_p415.npy,id,51267.375
DLF,dlf_8_e963_p509.npy,id,34825.81640625
DLF,dlf_9_e963_p962.npy,id,86462.578125
DX,dx_0_occl_e963_p766.npy,id,85753.3046875
DX,dx_10_occl_e963_p567.npy,id,56369.18359375
DX,dx_11_blackout_e963_p868.npy,id,79645.9609375
DX,dx_12_blackout_e963_p509.npy,id,35276.1171875
DX,dx_13_light_e963_p926.npy,id,185494.453125
DX,dx_14_light_e963_p509.npy,id,38992.50390625
DX,dx_15_light_e963_p891.npy,id,114702.671875
DX,dx_16_light_e963_p861.npy,id,87873.8515625
DX,dx_17_light_e963_p964.npy,id,183514.890625
DX,dx_18_light_e963_p927.npy,id,116138.3125
DX,dx_19_light_e963_p567.npy,id,67828.8671875
DX,dx_1_occl_e963_p940.npy,id,57598.85546875
DX,dx_2_occl_e963_p964.npy,id,68186.1953125
DX,dx_3_occl_e963_p931.npy,id,65612.5
DX,dx_4_occl_e963_p962.npy,id,63652.90234375
DX,dx_5_occl_e963_p964.npy,id,57762.8046875
DX,dx_6_occl_e963_p965.npy,id,49788.546875
DX,dx_7_occl_e963_p964.npy,id,94732.859375
DX,dx_8_occl_e963_p941.npy,id,53929.46875
DX,dx_9_occl_e963_p499.npy,id,73572.6328125
OX,ox_0_e963_p940.npy,id,60415.67578125
OX,ox_10_e963_p931.npy,id,41433.4140625
OX,ox_11_e963_p567.npy,id,70787.0234375
OX,ox_12_e963_p959.npy,id,40923.58203125
OX,ox_13_e963_p567.npy,id,62583.31640625
OX,ox_14_e963_p930.npy,id,53479.6875
OX,ox_15_e963_p923.npy,id,51610.99609375
OX,ox_16_e963_p930.npy,id,65387.17578125
OX,ox_17_e963_p930.npy,id,44969.16015625
OX,ox_18_e963_p959.npy,id,51564.45703125
OX,ox_19_e963_p964.npy,id,58620.1171875
OX,ox_1_e963_p965.npy,id,50338.93359375
OX,ox_2_e963_p567.npy,id,45559.921875
OX,ox_3_e963_p567.npy,id,50812.015625
OX,ox_4_e963_p931.npy,id,59505.42578125
OX,ox_5_e963_p567.npy,id,60824.625
OX,ox_6_e963_p959.npy,id,45772.828125
OX,ox_7_e963_p932.npy,id,73232.6953125
OX,ox_8_e963_p941.npy,id,64327.66015625
OX,ox_9_e963_p959.npy,id,45811.9921875
SV,sv_0_e963_p415.npy,id,73661.78125
SV,sv_10_e963_p962.npy,id,67406.8671875
SV,sv_11_e963_p964.npy,id,128730.765625
SV,sv_12_e963_p960.npy,id,59514.26953125
SV,sv_13_e963_p643.npy,id,75460.7421875
SV,sv_14_e963_p499.npy,id,66557.9453125
SV,sv_15_e963_p415.npy,id,86028.984375
SV,sv_16_e963_p835.npy,id,51633.63671875
SV,sv_17_e963_p539.npy,id,59087.296875
SV,sv_18_e963_p415.npy,id,54760.9140625
SV,sv_19_e963_p809.npy,id,55233.640625
SV,sv_1_e963_p415.npy,id,67948.578125
SV,sv_2_e963_p611.npy,id,48287.69921875
SV,sv_3_e963_p960.npy,id,55602.1171875
SV,sv_4_e963_p927.npy,id,77143.8671875
SV,sv_5_e963_p549.npy,id,62190.125
SV,sv_6_e963_p927.npy,id,89775.0
SV,sv_7_e963_p927.npy,id,73683.359375
SV,sv_8_e963_p509.npy,id,64712.6796875
SV,sv_9_e963_p930.npy,id,85043.15625
