TOOL,SAMPLE,ID/OOD,loss
DJ,dj_0_e5_p2.npy,ood,1765.8677978515625
DJ,dj_10_e5_p6.npy,ood,1847.318603515625
DJ,dj_11_e5_p6.npy,ood,2435.563232421875
DJ,dj_12_e5_p3.npy,ood,407.2627868652344
DJ,dj_13_e5_p6.npy,ood,2047.431396484375
DJ,dj_14_e5_p6.npy,ood,1727.757568359375
DJ,dj_15_e5_p6.npy,ood,1744.9091796875
DJ,dj_16_e5_p6.npy,ood,1661.949462890625
DJ,dj_17_e5_p6.npy,ood,1510.7939453125
DJ,dj_18_e5_p6.npy,ood,2126.4599609375
DJ,dj_19_e5_p6.npy,ood,1940.1060791015625
DJ,dj_1_e5_p6.npy,ood,1823.8663330078125
DJ,dj_20_e5_p3.npy,ood,1237.5738525390625
DJ,dj_21_e5_p6.npy,ood,1695.5284423828125
DJ,dj_22_e5_p1.npy,ood,2945.41357421875
DJ,dj_23_e5_p9.npy,ood,1322.1849365234375
DJ,dj_24_e5_p6.npy,ood,2027.5164794921875
DJ,dj_25_e5_p9.npy,ood,2122.713134765625
DJ,dj_26_e5_p9.npy,ood,710.2819213867188
DJ,dj_27_e5_p9.npy,ood,1439.5899658203125
DJ,dj_28_e5_p6.npy,ood,1874.45947265625
DJ,dj_29_e5_p3.npy,ood,604.8982543945312
DJ,dj_2_e5_p6.npy,ood,2060.977783203125
DJ,dj_30_e5_p6.npy,ood,2171.44384765625
DJ,dj_31_e5_p3.npy,ood,1377.469482421875
DJ,dj_32_e5_p9.npy,ood,1308.38134765625
DJ,dj_33_e5_p6.npy,ood,989.9412231445312
DJ,dj_34_e5_p7.npy,ood,1436.1580810546875
DJ,dj_35_e5_p2.npy,ood,2954.318115234375
DJ,dj_36_e5_p6.npy,ood,1718.3612060546875
DJ,dj_37_e5_p6.npy,ood,2387.631103515625
DJ,dj_38_e5_p6.npy,ood,1869.939453125
DJ,dj_39_e5_p2.npy,ood,2493.2529296875
DJ,dj_3_e5_p1.npy,ood,1734.44677734375
DJ,dj_40_e5_p9.npy,ood,1438.8690185546875
DJ,dj_41_e5_p6.npy,ood,1508.1793212890625
DJ,dj_42_e5_p9.npy,ood,1720.6170654296875
DJ,dj_43_e5_p9.npy,ood,2285.801513671875
DJ,dj_44_e5_p8.npy,ood,3173.6982421875
DJ,dj_45_e5_p3.npy,ood,1430.385986328125
DJ,dj_46_e5_p9.npy,ood,829.0877075195312
DJ,dj_47_e5_p6.npy,ood,1095.8572998046875
DJ,dj_48_e5_p9.npy,ood,2264.06982421875
DJ,dj_49_e5_p9.npy,ood,1902.0574951171875
DJ,dj_4_e5_p6.npy,ood,758.2807006835938
DJ,dj_50_e5_p3.npy,ood,2087.10791015625
