TOOL,SAMPLE,ID/OOD,loss
DJ,dj_0_e5_p2.npy,ood,15.52844
DJ,dj_10_e5_p6.npy,ood,15.195863
DJ,dj_11_e5_p6.npy,ood,13.036874
DJ,dj_12_e5_p3.npy,ood,18.85763
DJ,dj_13_e5_p6.npy,ood,11.281995
DJ,dj_14_e5_p6.npy,ood,12.936196
DJ,dj_15_e5_p6.npy,ood,13.588558
DJ,dj_16_e5_p6.npy,ood,15.395616
DJ,dj_17_e5_p6.npy,ood,14.242718
DJ,dj_18_e5_p6.npy,ood,11.762032
DJ,dj_19_e5_p6.npy,ood,13.03276
DJ,dj_1_e5_p6.npy,ood,13.958854
DJ,dj_20_e5_p3.npy,ood,17.923069
DJ,dj_21_e5_p6.npy,ood,14.630748
DJ,dj_22_e5_p1.npy,ood,11.427228
DJ,dj_23_e5_p9.npy,ood,11.662969
DJ,dj_24_e5_p6.npy,ood,12.142115
DJ,dj_25_e5_p9.npy,ood,10.686295
DJ,dj_26_e5_p9.npy,ood,11.801364
DJ,dj_27_e5_p9.npy,ood,12.628235
DJ,dj_28_e5_p6.npy,ood,13.3714695
DJ,dj_29_e5_p3.npy,ood,15.4458475
DJ,dj_2_e5_p6.npy,ood,12.6753645
DJ,dj_30_e5_p6.npy,ood,15.131596
DJ,dj_31_e5_p3.npy,ood,22.715984
DJ,dj_32_e5_p9.npy,ood,12.714776
DJ,dj_33_e5_p6.npy,ood,34.195763
DJ,dj_34_e5_p7.npy,ood,16.22127
DJ,dj_35_e5_p2.npy,ood,9.546201
DJ,dj_36_e5_p6.npy,ood,15.645181
DJ,dj_37_e5_p6.npy,ood,12.965978
DJ,dj_38_e5_p6.npy,ood,17.84708
DJ,dj_39_e5_p2.npy,ood,12.546067
DJ,dj_3_e5_p1.npy,ood,19.98876
DJ,dj_40_e5_p9.npy,ood,12.2730875
DJ,dj_41_e5_p6.npy,ood,27.436268
DJ,dj_42_e5_p9.npy,ood,11.324448
DJ,dj_43_e5_p9.npy,ood,10.821577
DJ,dj_44_e5_p8.npy,ood,6.488633
DJ,dj_45_e5_p3.npy,ood,19.382948
DJ,dj_46_e5_p9.npy,ood,10.959501
DJ,dj_47_e5_p6.npy,ood,32.46933
DJ,dj_48_e5_p9.npy,ood,11.154993
DJ,dj_49_e5_p9.npy,ood,10.301771
DJ,dj_4_e5_p6.npy,ood,33.985996
DJ,dj_50_e5_p3.npy,ood,18.992058
DJ,dj_51_e5_p9.npy,ood,8.959367
DJ,dj_52_e5_p6.npy,ood,13.904605
DJ,dj_53_e5_p8.npy,ood,6.360518
DJ,dj_54_e5_p3.npy,ood,21.78215
DJ,dj_55_e5_p1.npy,ood,19.997501
DJ,dj_56_e5_p6.npy,ood,15.837964
DJ,dj_57_e5_p2.npy,ood,16.26733
DJ,dj_58_e5_p2.npy,ood,25.441216
DJ,dj_59_e5_p9.npy,ood,13.518712
DJ,dj_5_e5_p4.npy,ood,11.747753
DJ,dj_60_e5_p6.npy,ood,13.005181
DJ,dj_61_e5_p3.npy,ood,14.697989
DJ,dj_62_e5_p6.npy,ood,12.889017
DJ,dj_63_e5_p6.npy,ood,13.923948
DJ,dj_64_e5_p6.npy,ood,13.699619
DJ,dj_65_e5_p6.npy,ood,15.95863
DJ,dj_66_e5_p3.npy,ood,18.534618
DJ,dj_67_e5_p6.npy,ood,14.498646
DJ,dj_68_e5_p1.npy,ood,16.494678
DJ,dj_69_e5_p6.npy,ood,13.071413
DJ,dj_6_e5_p6.npy,ood,14.092759
DJ,dj_70_e5_p3.npy,ood,10.292943
DJ,dj_71_e5_p6.npy,ood,10.26946
DJ,dj_72_e5_p8.npy,ood,11.911169
DJ,dj_73_e5_p3.npy,ood,14.483784
DJ,dj_74_e5_p6.npy,ood,14.621816
DJ,dj_75_e5_p9.npy,ood,10.89245
DJ,dj_76_e5_p3.npy,ood,14.566392
DJ,dj_77_e5_p6.npy,ood,13.402182
DJ,dj_78_e5_p7.npy,ood,24.201214
DJ,dj_79_e5_p6.npy,ood,14.670689
DJ,dj_7_e5_p6.npy,ood,13.851828
DJ,dj_80_e5_p6.npy,ood,15.720284
DJ,dj_81_e5_p7.npy,ood,24.933306
